"","Country","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","id"
"1","Argentina",0,0,0,0,0,0,0,0,0,0,-7,0,-9,10,"ARG"
"2","Austria",-36,8,105,135,26,62,-425,45,-20,-158,-155,-234,102,-9,"AUT"
"3","Australia",2,-1,-2,0,-9,89,15,-11,33,-32,0,0,0,15,"AUS"
"4","Belgium",372,78,157,1164,412,-731,-1059,-2028,115,41,187,143,135,-178,"BEL"
"5","Brazil",2,-2,-3,13,-21,6,2,-11,30,-12,-2,-8,0,0,"BRA"
"6","Canada",60,-48,110,182,-217,-7,50,-74,96,288,275,404,-1025,2,"CAN"
"7","Switzerland",232,-231,-107,62,-257,-66,82,109,165,111,36,-42,548,-228,"CHE"
"8","Chile",0,0,0,5,1,0,1,0,-1,0,0,0,0,0,"CHL"
"9","China",9,-1,-6,-3,-63,26,55,-51,83,2,-8,19,8,-299,"CHN"
"10","Cyprus",0,0,0,0,0,-47,-2,12,14,0,39,-91,11,20,"CYP"
"11","Czechia",1,1,1,1,2,0,2,0,7,-6,1,-3,0,0,"CZE"
"12","Germany",368,-70,573,-60,968,-1035,2469,1327,-2737,-240,-331,809,504,370,"DEU"
"13","Denmark",-162,-37,326,4324,9,72,163,-35,550,194,1142,-786,39,364,"DNK"
"14","Estonia",14,-2,-32,-28,-58,31,44,64,-54,-225,38,-13,-27,596,"EST"
"15","Spain",54,47,13,17,45,24,-8,3,48,11,5,-2,14,-3,"ESP"
"16","France",4,233,144,202,60,-126,-51,272,-215,92,-70,-3,-32,226,"FRA"
"17","United Kingdom of Great Britain and Northern Ireland",-45,-295,541,711,-5442,59,-308,28,572,220,1501,236,361,-53,"GBR"
"18","Greece",-18,19,-5,1,9,-9,0,5,-2,0,0,0,0,6,"GRC"
"19","Hong Kong",3,2,-45,-34,60,-32,12,0,14,22,0,0,0,0,"HKG"
"20","Hungary",-1,-3,106,-5,-15,-6,8,-26,-25,0,0,0,0,0,"HUN"
"21","Indonesia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"IDN"
"22","Ireland",19,-352,311,-252,-68,-22,275,293,-180,200,368,208,-21,85,"IRL"
"23","India",0,0,0,0,-14,-5,2,-51,28,-12,7,3,12,-200,"IND"
"24","Iceland",-17,1,110,376,-10,0,0,30,-100,-5,-2,0,0,0,"ISL"
"25","Italy",16,179,180,98,82,-159,-4,68,-49,35,25,50,158,32,"ITA"
"26","Japan",-128,-60,66,-79,-55,31,24,-13,556,636,27,182,-2902,42,"JPN"
"27","Korea",-6,6,-3,13,-21,14,3,-23,25,5,2,11,0,32,"KOR"
"28","Lithuania",0,0,0,0,0,-7,1,0,5,8,2,-2,-6,-3,"LTU"
"29","Luxembourg",376,-8,-55,-155,-23,992,1486,276,-247,476,4255,-2626,8666,-194,"LUX"
"30","Latvia",5,-1,-3,-10,-10,3,3,0,6,0,0,0,-22,7,"LVA"
"31","Mexico",0,0,0,0,0,1,0,1,0,0,0,0,-7,-11,"MEX"
"32","Malaysia",0,1,1,-4,3,74,-74,2,-1,0,0,0,1,-2,"MYS"
"33","Netherlands",72,105,1053,1325,141,1674,1979,840,2271,-1512,4082,-20,299,1529,"NLD"
"34","Norway",-212,356,-163,135,-377,283,-226,-30,441,1,238,432,359,158,"NOR"
"35","New Zealand",0,0,0,0,0,0,0,0,0,0,0,0,0,7,"NZL"
"36","Philippines",0,0,0,0,0,0,0,0,0,0,0,0,0,-1,"PHL"
"37","Poland",-20,-12,-184,68,-76,23,4,-18,107,-38,25,16,50,-2,"POL"
"38","Portugal",-4,6,-2,3,4,-9,0,6,-6,0,0,0,6,-1,"PRT"
"39","Romania",0,0,0,0,0,0,0,0,0,0,0,0,2,-1,"ROU"
"40","Russian Federation",48,38,19,64,-35,138,77,60,9,-25,231,-218,340,197,"RUS"
"41","Sweden",1182,3794,2386,669,4289,-290,1229,626,901,-388,1735,2044,594,-2267,"SWE"
"42","Singapore",0,0,0,0,0,0,0,3,-4,-5,-2,-3,-10,-9,"SGP"
"43","Slovenia",0,0,0,0,2,-3,0,2,-2,0,0,0,0,0,"SVN"
"44","Slovakia",0,0,0,0,2,-3,4,3,-5,-4,23,0,43,5,"SVK"
"45","Thailand",0,0,0,0,0,2,0,2,-2,0,0,0,0,-10,"THA"
"46","Turkey",2,-2,-3,-16,-20,9,2,-8,56,-4,-1,22,0,9,"TUR"
"47","Ukraine",0,0,0,-13,-19,6,2,-5,11,0,0,0,0,-2,"UKR"
"48","United States of America",100,203,115,31,48,-666,-16,389,490,-43,120,247,684,-1012,"USA"
"50","South Africa",0,0,0,-16,-18,7,2,-4,9,-1,2,0,1,-26,"ZAF"
