"","Country","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","id"
"1","Argentina",23,-9,-19,0,13,0,0,-1,34,6,-8,-2,-2,18,"ARG"
"2","Austria",-75,194,353,-201,97,32,239,-65,38,-333,-253,38,-4,-50,"AUT"
"3","Australia",15,0,-8,-85,26,-94,308,-615,128,-95,-21,162,-80,-104,"AUS"
"4","Belgium",-47,-26,7557,4225,4568,694,2430,-845,-13807,1457,-1341,-2097,704,-2692,"BEL"
"5","Brazil",116,-38,23,125,36,38,-79,54,36,-31,-40,-101,-255,88,"BRA"
"6","Canada",108,977,-16,-276,214,-78,-23,110,-68,172,6,-924,122,-300,"CAN"
"7","Switzerland",-609,-3872,-219,1563,-4189,1821,-1157,-569,304,1977,2391,-2456,-1282,-43,"CHE"
"8","Chile",0,4,5,2,5,-2,18,24,17,41,25,19,0,0,"CHL"
"9","China",450,90,39,572,-53,845,1481,-1479,-581,-786,-1040,-513,99,-69,"CHN"
"10","Cyprus",2,16,3,3,111,160,-13,-27,-328,-6,80,16,5,1,"CYP"
"11","Czechia",25,-9,-10,-34,-8,-39,9,35,1,29,36,-4,0,0,"CZE"
"12","Germany",-406,-434,478,-339,-501,-501,583,-104,1768,-2637,-892,725,-694,-340,"DEU"
"13","Denmark",30,178,70,95,64,-174,159,151,-80,-478,-69,74,882,390,"DNK"
"14","Estonia",52,411,133,-251,-53,-56,225,-15,-98,86,44,1,97,586,"EST"
"15","Spain",-72,-175,19,-37,-22,253,88,103,-59,62,55,10,75,253,"ESP"
"16","France",-110,369,-123,-246,-501,-54,59,-207,-230,722,273,176,12132,-10518,"FRA"
"17","United Kingdom of Great Britain and Northern Ireland",39,372,-159,-364,84,-207,28,28,1419,5,-328,436,-692,524,"GBR"
"18","Greece",8,10,-17,-6,4,-5,4,-5,-7,0,0,2,-3,54,"GRC"
"19","Hong Kong",1,25,-27,-65,19,24,10,-3,-30,56,-16,101,0,0,"HKG"
"20","Hungary",151,288,-479,82,175,92,92,-767,-119,143,-96,-7,0,0,"HUN"
"21","Indonesia",6,29,28,-82,41,33,-38,5,-7,-21,41,39,0,0,"IDN"
"22","Ireland",-572,-61,23,289,-19,-28,11,34,10577,996,0,-176,-1137,526,"IRL"
"23","India",11,20,119,93,222,243,157,185,-31,-30,3,8,-2,130,"IND"
"24","Iceland",0,0,0,0,0,0,0,0,5,0,0,0,-1,0,"ISL"
"25","Italy",11,83,209,113,-184,-71,0,-10,-34,64,-362,446,47,-357,"ITA"
"26","Japan",32,41,-28,-12,-23,-55,38,-9,-9,88,-42,-14,-7,337,"JPN"
"27","Korea",-16,14,-138,-129,27,-151,21,34,-13,20,-74,24,-18,1,"KOR"
"28","Lithuania",-31,58,62,-61,32,-113,38,34,1,394,60,7,56,106,"LTU"
"29","Luxembourg",35,0,-4206,961,-253,-168,33,819,-817,639,265,412,1181,-209,"LUX"
"30","Latvia",67,88,-202,-14,-22,-179,6,17,-38,4,4,-27,7,16,"LVA"
"31","Mexico",-51,127,-21,-79,-29,-4,-19,78,-21,1,20,-1,-80,83,"MEX"
"32","Malaysia",12,25,25,-8,-27,-1,33,15,-5,3,-6,6,-20,28,"MYS"
"33","Netherlands",808,1613,938,1098,1345,103,646,1371,5545,-3849,2537,-10880,5950,12978,"NLD"
"34","Norway",-85,85,-393,-10,219,-120,492,1141,-106,-428,37,2655,-64,-232,"NOR"
"35","New Zealand",5,9,2,-15,3,22,2,-1,-20,-5,0,0,8,-39,"NZL"
"36","Philippines",2,0,0,-3,0,1,3,-2,0,0,-4,3,-8,4,"PHL"
"37","Poland",122,194,43,176,133,-192,138,199,163,134,-33,-74,127,89,"POL"
"38","Portugal",63,2,51,-11,-1,-15,-40,46,-14,5,14,7,3,2,"PRT"
"39","Romania",-3,5,19,26,60,22,58,-50,-16,-47,-14,-9,2,-29,"ROU"
"40","Russian Federation",150,71,404,345,763,-313,691,575,318,512,266,112,160,198,"RUS"
"41","Sweden",-1699,-1829,-930,-1184,-869,2870,1020,2959,2535,331,2137,-4845,3027,356,"SWE"
"42","Singapore",72,40,135,10,87,210,419,75,129,-425,324,188,-18,158,"SGP"
"43","Slovenia",3,0,1,15,-15,-4,5,3,13,-5,-7,-1,-4,6,"SVN"
"44","Slovakia",0,1,7,57,10,22,70,2,28,-10,-4,18,7,-15,"SVK"
"45","Thailand",11,-41,-40,-22,-16,-17,0,-1,3,12,6,13,-1,77,"THA"
"46","Turkey",28,27,165,59,37,-101,47,34,-121,-63,3,0,95,79,"TUR"
"47","Ukraine",2,2,9,37,17,6,-14,29,2,22,-79,-12,-33,7,"UKR"
"48","United States of America",474,106,-1,-848,4569,-1056,-815,268,-351,-490,-1415,958,1392,-4339,"USA"
"50","South Africa",15,2,11,7,4,12,8,20,32,4,18,0,2,24,"ZAF"
